lat,lon
-8.079914361318345,-34.90993150715612
-8.07973352323741,-34.90993150715612
-8.079552685156475,-34.90993150715612
-8.07937184707554,-34.90993150715612
-8.079191008994606,-34.90993150715612
-8.079010170913671,-34.90993150715612
-8.078829332832736,-34.90993150715612
-8.078648494751802,-34.90993150715612
-8.078467656670867,-34.90993150715612
-8.078286818589932,-34.90993150715612
-8.078105980508997,-34.90993150715612
-8.077925142428063,-34.90993150715612
-8.077744304347128,-34.90993150715612
-8.077563466266193,-34.90993150715612
-8.077382628185259,-34.90993150715612
-8.077201790104324,-34.90993150715612
-8.077020952023389,-34.90993150715612
-8.076840113942454,-34.90993150715612
-8.07665927586152,-34.90993150715612
-8.076478437780585,-34.90993150715612
-8.07629759969965,-34.90993150715612
-8.076116761618716,-34.90993150715612
-8.07593592353778,-34.90993150715612
-8.075755085456846,-34.90993150715612
-8.075574247375911,-34.90993150715612
-8.075393409294977,-34.90993150715612
-8.075212571214042,-34.90993150715612
-8.075031733133107,-34.90993150715612
-8.074850895052172,-34.90993150715612
-8.074670056971238,-34.90993150715612
-8.074489218890303,-34.90993150715612
-8.074308380809368,-34.90993150715612
-8.074127542728434,-34.90993150715612
-8.073946704647499,-34.90993150715612
-8.073765866566564,-34.90993150715612
-8.07358502848563,-34.90993150715612
-8.073404190404695,-34.90993150715612
-8.07322335232376,-34.90993150715612
-8.073042514242825,-34.90993150715612
-8.07286167616189,-34.90993150715612
-8.072680838080956,-34.90993150715612
-8.072500000000021,-34.90993150715612
-8.072319161919086,-34.90993150715612
-8.072138323838152,-34.90993150715612
-8.071957485757217,-34.90993150715612
-8.071776647676282,-34.90993150715612
-8.071595809595348,-34.90993150715612
-8.071414971514413,-34.90993150715612
-8.071234133433478,-34.90993150715612
-8.071053295352543,-34.90993150715612
-8.070872457271609,-34.90993150715612
-8.070691619190674,-34.90993150715612
-8.07051078110974,-34.90993150715612
-8.070329943028804,-34.90993150715612
-8.07014910494787,-34.90993150715612
-8.069968266866935,-34.90993150715612
-8.069787428786,-34.90993150715612
-8.069606590705066,-34.90993150715612
-8.06942575262413,-34.90993150715612
-8.069244914543196,-34.90993150715612
-8.069064076462261,-34.90993150715612
-8.068883238381327,-34.90993150715612
-8.068702400300392,-34.90993150715612
-8.068521562219457,-34.90993150715612
-8.068340724138523,-34.90993150715612
-8.068159886057588,-34.90993150715612
-8.067979047976653,-34.90993150715612
-8.067798209895718,-34.90993150715612
-8.067617371814784,-34.90993150715612
-8.067436533733849,-34.90993150715612
-8.067255695652914,-34.90993150715612
-8.06707485757198,-34.90993150715612
-8.066894019491045,-34.90993150715612
-8.06671318141011,-34.90993150715612
-8.066532343329175,-34.90993150715612
-8.06635150524824,-34.90993150715612
-8.066170667167306,-34.90993150715612
-8.065989829086371,-34.90993150715612
-8.065808991005436,-34.90993150715612
-8.065628152924502,-34.90993150715612
-8.065447314843567,-34.90993150715612
-8.065266476762632,-34.90993150715612
-8.065085638681698,-34.90993150715612
-8.079914361318345,-34.909568602167035
-8.07973352323741,-34.909568602167035
-8.079552685156475,-34.909568602167035
-8.07937184707554,-34.909568602167035
